id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra,dec,snrg,codeindex,Ba_only_candidate,Sr_only_candidate,Ba_Sr_candidate,BA_FE_4554,BA_FE_4554_err,BA_FE_4554_kernel,BA_FE_4554_kernel_err,BA_FE_4934,BA_FE_4934_err,BA_FE_4934_kernel,BA_FE_4934_kernel_err,SR_FE_4077,SR_FE_4077_err,SR_FE_4077_kernel,SR_FE_4077_kernel_err,SR_FE_4215,SR_FE_4215_err,SR_FE_4215_kernel,SR_FE_4215_kernel_err
spec-56350-GAC116N20V1_sp08-103.fits,4101.88841413,1.47068780204,-0.317106707771,0.0385339521921,11.8198850001,0.032338512515,0.0195966333397,0.00868930913195,0.8461425506360947,117.0863,19.425425,31.84,192645,false,false,true,0.9544078176745625,0.14356330325834957,19.27285628723478,29.8638639030881,0.6622726592482383,0.8866728647372847,-17.23085355385099,40.272144358459315,1.051699529526895,0.07720782188231087,26.91455671232279,54.592554911955105,1.284339951217539,0.031420911053356516,-53.470649591488915,63.00632949517893
spec-56351-GAC108N13V3_sp08-175.fits,4726.47572458,2.06394710707,-0.272534289765,0.0681514726774,17.818848828,0.0524164737728,0.0254679424817,0.0116093704562,0.6873289951961884,108.79856,12.86713,36.63,194284,false,false,true,0.8824386177528184,0.16590914671810303,26.136528300910793,34.14511545205222,-0.028395536909703062,0.0,9.342409944098824,51.05706230513441,0.8423594889680583,0.13726871697320123,26.914550688002308,53.92068100693419,0.5908900742892663,0.9534660985329844,-39.152296881590516,90.30139355659772
spec-56353-GAC111N10V2_sp11-237.fits,5212.97662268,3.18955657447,-0.526350025741,0.107490677783,34.0234814161,0.0644291951196,0.0397784049714,0.0182428977825,0.46644401523175133,111.85993,12.292769,38.31,195773,false,false,true,1.0253965371503484,0.03578676436725646,-10.400384214315133,24.052387098755265,0.9583062810746612,0.26823889896085107,-16.54617429397565,34.9929564874865,0.9701978057430534,0.09887421055653815,19.679433186424323,25.27863422507405,0.46432286647548965,2.582363413734054,8.949698810741713,74.4450360199025
spec-56358-GAC089N28B2_sp07-184.fits,4729.27814261,2.03752449028,-0.266573620272,0.0582448189826,18.2982718014,0.053393050494,0.0260328479302,0.0106052872187,0.7224407730490884,90.792058,27.635599,33.76,201709,false,false,true,0.8880793926281799,0.18356111383710758,44.259726923352545,36.0635381660927,-0.07271915323934305,0.0,-6.058652756460307,58.04182269998131,0.903528106338951,0.1609040703239713,-34.39671395352472,51.416212785402934,0.9112356747337017,0.17045314356278213,8.94972155898689,48.13001484881423
spec-56358-HD144346S023019B01_sp10-027.fits,5031.32698547,3.31927184525,-0.195526222913,0.115037628884,37.6123571756,0.0709091789012,0.0407513061626,0.0217060355365,0.2665007524621149,219.147626,-3.392399,32.78,202679,false,false,true,1.013101036330122,0.03239064620255504,-13.484597706206081,25.960584538653,0.832420985627436,0.2089328338085578,9.341035590664559,39.36391260792008,0.9999252677113201,0.1068355231473783,-11.499609786527312,26.45595833789653,0.944591329005333,0.12502989328444974,5.157096854515436,33.87965225143874
spec-56365-GAC106N28V2_sp01-077.fits,5250.23208017,3.63945787065,0.142056709531,0.0834419174964,24.6854797347,0.0471253785714,0.0259670672822,0.0128206767493,0.4078939162954735,106.76255,26.201645,38.81,207490,false,false,true,0.3357861683308624,0.5047850112940429,-14.19788611618887,75.14089461180939,-0.019776595327938684,0.0,9.34246409665234,90.78194562546534,0.6180337835426555,0.33203737846846676,26.914558655982894,56.26631394113513,0.11380953962331232,5.030466833112644,8.949726753211209,78.4366596864214
spec-56380-HD133117N362849B01_sp09-006.fits,4694.65844441,2.20554033429,-0.446375030525,0.109771634319,22.8869017872,0.0616185497918,0.0325464158899,0.0177141499087,0.4164322990515807,204.07606,36.637062,30.99,215624,false,false,true,0.824639016602353,0.210084014385391,12.521711263557629,47.35240792858749,0.5255453211378395,1.0114616242356478,9.342466916576976,48.861932112419176,0.9149415424429589,0.1154677701541612,-13.620179533326846,35.4984288138483,0.8775761703684197,0.15436045964069967,7.648178725457969,46.709287504151554
spec-56384-HD123647S054954B01_sp09-179.fits,4984.82575401,3.37660491596,-0.416159053264,0.145520830106,35.0884817332,0.0574535688842,0.0384130846657,0.0200450316825,0.3310146523660714,190.3829,-5.082621,37.33,216293,false,false,true,0.946295393586104,0.1569994829857105,19.596917432023208,30.597044995789705,-0.10212039111774765,0.0,-55.80653162347117,125.9353926785027,0.7649162689692001,0.10048115497729458,26.914506754741165,56.510606969876214,0.3941764988423936,2.4982834715633078,8.949726766909091,84.43660220552078
spec-56384-HD144536N080934M01_sp11-229.fits,4958.1456768,2.76046059823,-0.965849041393,0.216121508445,28.0030718568,0.0519138969641,0.0340595101114,0.0145263407162,0.5914847570818207,221.464534,10.030079,63.73,216674,false,false,true,1.0166290782676877,0.02641481996709149,7.639424566386043,18.312284143728007,1.0261616221334258,0.03424217043264063,3.137936379116557,18.69552174335877,0.7821431249218154,0.08198514000518027,-62.04504641621704,35.69727996579483,-0.13489251828107082,0.0,-14.106320234970049,56.56625528431222
spec-56385-GAC113N23V1_sp07-169.fits,5015.00206666,2.93341860988,-0.596201594699,0.12892809657,13.6746266905,0.0265880989463,0.0160064474977,0.00866053705499,1.5323106606864925,114.45592,21.087264,131.44,217237,false,false,true,0.988591433211516,0.06552948855824747,6.19234055148199,10.42826303477182,0.8419207315350475,0.09417612348385983,-18.204564089998897,15.073125438619384,0.9173945778443434,0.03642718790546263,10.14471162957601,11.484619924189296,0.3550239378117569,1.0403222428096655,8.949723172415881,34.113095777700146
