id_1,cannon_teff_1,cannon_logg_1,cannon_m_h_1,cannon_alpha_m_1,cannon_teff_err_1,cannon_logg_err_1,cannon_m_h_err_1,cannon_alpha_m_err_1,cannon_red_chisq_1,ra_1,dec_1,snrg_1,codeindex_1,id_2,cannon_teff_2,cannon_logg_2,cannon_m_h_2,cannon_alpha_m_2,cannon_teff_err_2,cannon_logg_err_2,cannon_m_h_err_2,cannon_alpha_m_err_2,cannon_red_chisq_2,ra_2,dec_2,snrg_2,codeindex_2,Separation
spec-56670-GAC084N44V1_sp07-240.fits,4827.93707219,2.78778614192,-0.08168031574,0.0827214476314,28.1725571909,0.0654354123399,0.0337043971967,0.0154762722688,0.43779662617974324,85.790594,42.114742,31.290000915527344,382956,spec-56670-GAC084N44V1_sp07-240.fits,4827.93707219,2.78778614192,-0.08168031574,0.0827214476314,28.1725571909,0.0654354123399,0.0337043971967,0.0154762722688,0.43779662617974324,85.790594,42.114742,31.290000915527344,382956,0.0
spec-56670-GAC084N44V1_sp10-016.fits,4595.05235609,2.09442250686,-0.211663766606,0.0350495457449,13.8814096556,0.0392157379098,0.0199974381461,0.00818978518528,0.8463558836488061,81.552917,43.68946,43.27000045776367,383073,spec-56670-GAC084N44V1_sp10-016.fits,4595.05235609,2.09442250686,-0.211663766606,0.0350495457449,13.8814096556,0.0392157379098,0.0199974381461,0.00818978518528,0.8463558836488061,81.552917,43.68946,43.27000045776367,383073,0.0
spec-56670-GAC084N44V1_sp12-143.fits,4372.16839826,1.86290590477,-0.168220512675,0.0160471471168,8.73790441857,0.0241617890369,0.0132261169359,0.00577016871982,0.8714442210164679,85.210993,45.582561,73.66999816894531,383158,spec-56670-GAC084N44V1_sp12-143.fits,4372.16839826,1.86290590477,-0.168220512675,0.0160471471168,8.73790441857,0.0241617890369,0.0132261169359,0.00577016871982,0.8714442210164679,85.210993,45.582561,73.66999816894531,383158,0.0
spec-56670-GAC084N44V1_sp13-138.fits,4814.20493975,3.11381549833,0.177670946928,0.03931254997,25.4462087664,0.0522220504145,0.0295601890449,0.0110839550969,0.36132467557381776,86.731116,44.525748,30.6299991607666,383190,spec-56670-GAC084N44V1_sp13-138.fits,4814.20493975,3.11381549833,0.177670946928,0.03931254997,25.4462087664,0.0522220504145,0.0295601890449,0.0110839550969,0.36132467557381776,86.731116,44.525748,30.6299991607666,383190,0.0
spec-56670-GAC084N44V1_sp15-030.fits,3953.6079153,1.03411662039,-0.331267980893,0.0222256956043,7.39282695518,0.0204204582154,0.0132314171858,0.00568974367797,1.031410899554527,84.54106,45.409098,57.720001220703125,383241,spec-56670-GAC084N44V1_sp15-030.fits,3953.6079153,1.03411662039,-0.331267980893,0.0222256956043,7.39282695518,0.0204204582154,0.0132314171858,0.00568974367797,1.031410899554527,84.54106,45.409098,57.720001220703125,383241,0.0
spec-56670-GAC084N44V1_sp16-145.fits,4968.56183946,2.71760255484,-0.111293148077,0.0357909964576,19.0392336883,0.0476544080284,0.02276606059,0.00910714838113,0.504509080359632,83.557176,45.912616,44.72999954223633,383326,spec-56670-GAC084N44V1_sp16-145.fits,4968.56183946,2.71760255484,-0.111293148077,0.0357909964576,19.0392336883,0.0476544080284,0.02276606059,0.00910714838113,0.504509080359632,83.557176,45.912616,44.72999954223633,383326,0.0
spec-56670-GAC084N44V2_sp05-149.fits,4010.54207669,1.13419343404,-0.25593897365,-0.00900772108016,8.08743973367,0.0233992846248,0.0144150189887,0.00573139333354,0.8141099873835022,84.480226,42.905289,58.470001220703125,383536,spec-56670-GAC084N44V2_sp05-149.fits,4010.54207669,1.13419343404,-0.25593897365,-0.00900772108016,8.08743973367,0.0233992846248,0.0144150189887,0.00573139333354,0.8141099873835022,84.480226,42.905289,58.470001220703125,383536,0.0
spec-56670-GAC084N44V2_sp06-230.fits,4076.5061968,1.49521601209,-0.304551175437,0.0419148688533,8.50500254805,0.0219511047545,0.0140698205525,0.00617711057871,1.1292185641113053,86.605617,43.447685,59.31999969482422,383620,spec-56670-GAC084N44V2_sp06-230.fits,4076.5061968,1.49521601209,-0.304551175437,0.0419148688533,8.50500254805,0.0219511047545,0.0140698205525,0.00617711057871,1.1292185641113053,86.605617,43.447685,59.31999969482422,383620,0.0
spec-56670-GAC084N44V2_sp08-032.fits,4894.30154757,2.73639985542,-0.579974632723,0.117132508515,21.7864755445,0.0453683433528,0.0263081179814,0.0126177249419,0.5183338731630649,85.434586,44.028252,58.7599983215332,383664,spec-56670-GAC084N44V2_sp08-032.fits,4894.30154757,2.73639985542,-0.579974632723,0.117132508515,21.7864755445,0.0453683433528,0.0263081179814,0.0126177249419,0.5183338731630649,85.434586,44.028252,58.7599983215332,383664,0.0
spec-56670-GAC084N44V2_sp14-056.fits,4816.51690245,2.8879489515,-0.155657126243,0.0147832604638,16.4166193262,0.0359543519191,0.0198434016418,0.0075906227472,0.5913444115172217,82.112487,44.136833,55.150001525878906,383866,spec-56670-GAC084N44V2_sp14-056.fits,4816.51690245,2.8879489515,-0.155657126243,0.0147832604638,16.4166193262,0.0359543519191,0.0198434016418,0.0075906227472,0.5913444115172217,82.112487,44.136833,55.150001525878906,383866,0.0
